Sexe;Epreuve;Points;Perf;Code epreuve
Men;Mile;809;4:23.18;Men-Mile
Men;2000m;809;5:35.40;Men-2000m
Men;HJ;809;-;Men-HJ
Men;PV;809;4.31;Men-PV
Men;LJ;809;6.47;Men-LJ
Men;TJ;809;13.62;Men-TJ
Men;SP;809;14.75;Men-SP
Men;DT;809;46.26;Men-DT
Men;HT;809;54.52;Men-HT
Men;JT;809;59.36;Men-JT
Men;Decathlon / Heptathlon;809;5920;Men-Decathlon / Heptathlon
Men;100m;810;-;Men-100m
Men;200m;810;22.87;Men-200m
Men;300m;810;36.16;Men-300m
Men;400m;810;50.83;Men-400m
Men;500m;810;1:06.78;Men-500m
Men;110mH / 100mH;810;-;Men-110mH / 100mH
Men;400mH;810;56.98;Men-400mH
Men;4x100m;810;43.90;Men-4x100m
Men;4x200m;810;1:31.83;Men-4x200m
Men;4x400m;810;3:27.35;Men-4x400m
Men;600m;810;1:23.67;Men-600m
Men;800m;810;1:58.03;Men-800m
Men;1000m;810;2:32.57;Men-1000m
Men;1500m;810;4:03.85;Men-1500m
Men;Mile;810;4:23.08;Men-Mile
Men;2000m;810;5:35.28;Men-2000m
Men;HJ;810;1.88;Men-HJ
Men;PV;810;-;Men-PV
Men;LJ;810;-;Men-LJ
Men;TJ;810;13.63;Men-TJ
Men;SP;810;14.77;Men-SP
Men;DT;810;46.31;Men-DT
Men;HT;810;54.58;Men-HT
Men;JT;810;59.43;Men-JT
Men;Decathlon / Heptathlon;810;5927;Men-Decathlon / Heptathlon
Men;100m;811;11.26;Men-100m
Men;200m;811;22.86;Men-200m
Men;300m;811;36.14;Men-300m
Men;400m;811;50.81;Men-400m
Men;500m;811;1:06.76;Men-500m
Men;110mH / 100mH;811;15.51;Men-110mH / 100mH
Men;400mH;811;56.95;Men-400mH
Men;4x100m;811;43.88;Men-4x100m
Men;4x200m;811;1:31.80;Men-4x200m
Men;4x400m;811;3:27.27;Men-4x400m
Men;600m;811;1:23.64;Men-600m
Men;800m;811;1:58.00;Men-800m
Men;1000m;811;2:32.51;Men-1000m
Men;1500m;811;4:03.77;Men-1500m
Men;Mile;811;4:22.99;Men-Mile
Men;2000m;811;5:35.16;Men-2000m
Men;HJ;811;-;Men-HJ
Men;PV;811;4.32;Men-PV
Men;LJ;811;6.48;Men-LJ
Men;TJ;811;13.64;Men-TJ
Men;SP;811;14.79;Men-SP
Men;DT;811;46.37;Men-DT
Men;HT;811;54.65;Men-HT
Men;JT;811;59.50;Men-JT
Men;Decathlon / Heptathlon;811;5934;Men-Decathlon / Heptathlon
Men;100m;812;-;Men-100m
Men;200m;812;22.85;Men-200m
Men;300m;812;36.13;Men-300m
Men;400m;812;50.79;Men-400m
Men;500m;812;1:06.74;Men-500m
Men;110mH / 100mH;812;15.50;Men-110mH / 100mH
Men;400mH;812;56.93;Men-400mH
Men;4x100m;812;43.86;Men-4x100m
Men;4x200m;812;1:31.77;Men-4x200m
Men;4x400m;812;3:27.19;Men-4x400m
Men;600m;812;1:23.61;Men-600m
Men;800m;812;1:57.96;Men-800m
Men;1000m;812;2:32.46;Men-1000m
Men;1500m;812;4:03.68;Men-1500m
Men;Mile;812;4:22.90;Men-Mile
Men;2000m;812;5:35.04;Men-2000m
Men;HJ;812;-;Men-HJ
Men;PV;812;-;Men-PV
Men;LJ;812;-;Men-LJ
Men;TJ;812;13.65;Men-TJ
Men;SP;812;14.80;Men-SP
Men;DT;812;46.42;Men-DT
Men;HT;812;54.71;Men-HT
Men;JT;812;59.57;Men-JT
Men;Decathlon / Heptathlon;812;5940;Men-Decathlon / Heptathlon
Men;100m;813;-;Men-100m
Men;200m;813;-;Men-200m
Men;300m;813;36.12;Men-300m
Men;400m;813;50.78;Men-400m
Men;500m;813;1:06.72;Men-500m
Men;110mH / 100mH;813;-;Men-110mH / 100mH
Men;400mH;813;56.91;Men-400mH
Men;4x100m;813;43.85;Men-4x100m
Men;4x200m;813;1:31.73;Men-4x200m
Men;4x400m;813;3:27.11;Men-4x400m
Men;600m;813;1:23.58;Men-600m
Men;800m;813;1:57.92;Men-800m
Men;1000m;813;2:32.41;Men-1000m
Men;1500m;813;4:03.59;Men-1500m
Men;Mile;813;4:22.80;Men-Mile
Men;2000m;813;5:34.92;Men-2000m
Men;HJ;813;-;Men-HJ
Men;PV;813;-;Men-PV
Men;LJ;813;-;Men-LJ
Men;TJ;813;-;Men-TJ
Men;SP;813;14.82;Men-SP
Men;DT;813;46.48;Men-DT
Men;HT;813;54.78;Men-HT
Men;JT;813;59.64;Men-JT
Men;Decathlon / Heptathlon;813;5947;Men-Decathlon / Heptathlon
Men;100m;814;11.25;Men-100m
Men;200m;814;22.84;Men-200m
Men;300m;814;36.10;Men-300m
Men;400m;814;50.76;Men-400m
Men;500m;814;1:06.69;Men-500m
Men;110mH / 100mH;814;15.49;Men-110mH / 100mH
Men;400mH;814;56.88;Men-400mH
Men;4x100m;814;43.83;Men-4x100m
Men;4x200m;814;1:31.70;Men-4x200m
Men;4x400m;814;3:27.04;Men-4x400m
Men;600m;814;1:23.56;Men-600m
Men;800m;814;1:57.88;Men-800m
Men;1000m;814;2:32.36;Men-1000m
Men;1500m;814;4:03.50;Men-1500m
Men;Mile;814;4:22.71;Men-Mile
Men;2000m;814;5:34.81;Men-2000m
Men;HJ;814;-;Men-HJ
Men;PV;814;4.33;Men-PV
Men;LJ;814;6.49;Men-LJ
Men;TJ;814;13.66;Men-TJ
Men;SP;814;14.84;Men-SP
Men;DT;814;46.53;Men-DT
Men;HT;814;54.84;Men-HT
Men;JT;814;59.71;Men-JT
Men;Decathlon / Heptathlon;814;5954;Men-Decathlon / Heptathlon
Men;100m;815;-;Men-100m
Men;200m;815;22.83;Men-200m
Men;300m;815;36.09;Men-300m
Men;400m;815;50.74;Men-400m
Men;500m;815;1:06.67;Men-500m
Men;110mH / 100mH;815;15.48;Men-110mH / 100mH
Men;400mH;815;56.86;Men-400mH
Men;4x100m;815;43.82;Men-4x100m
Men;4x200m;815;1:31.67;Men-4x200m
Men;4x400m;815;3:26.96;Men-4x400m
Men;600m;815;1:23.53;Men-600m
Men;800m;815;1:57.84;Men-800m
Men;1000m;815;2:32.30;Men-1000m
Men;1500m;815;4:03.42;Men-1500m
Men;Mile;815;4:22.62;Men-Mile
Men;2000m;815;5:34.69;Men-2000m
Men;HJ;815;-;Men-HJ
Men;PV;815;-;Men-PV
Men;LJ;815;-;Men-LJ
Men;TJ;815;13.67;Men-TJ
Men;SP;815;14.85;Men-SP
Men;DT;815;46.58;Men-DT
Men;HT;815;54.91;Men-HT
Men;JT;815;59.78;Men-JT
Men;Decathlon / Heptathlon;815;5960;Men-Decathlon / Heptathlon
Men;100m;816;-;Men-100m
Men;200m;816;22.82;Men-200m
Men;300m;816;36.08;Men-300m
Men;400m;816;50.72;Men-400m
Men;500m;816;1:06.65;Men-500m
Men;110mH / 100mH;816;-;Men-110mH / 100mH
Men;400mH;816;56.84;Men-400mH
Men;4x100m;816;43.80;Men-4x100m
Men;4x200m;816;1:31.64;Men-4x200m
Men;4x400m;816;3:26.88;Men-4x400m
Men;600m;816;1:23.50;Men-600m
Men;800m;816;1:57.80;Men-800m
Men;1000m;816;2:32.25;Men-1000m
Men;1500m;816;4:03.33;Men-1500m
Men;Mile;816;4:22.52;Men-Mile
Men;2000m;816;5:34.57;Men-2000m
Men;HJ;816;-;Men-HJ
Men;PV;816;-;Men-PV
Men;LJ;816;6.50;Men-LJ
Men;TJ;816;13.68;Men-TJ
Men;SP;816;14.87;Men-SP
Men;DT;816;46.64;Men-DT
Men;HT;816;54.97;Men-HT
Men;JT;816;59.85;Men-JT
Men;Decathlon / Heptathlon;816;5967;Men-Decathlon / Heptathlon
Men;100m;817;11.24;Men-100m
Men;200m;817;-;Men-200m
Men;300m;817;36.07;Men-300m
Men;400m;817;50.71;Men-400m
Men;500m;817;1:06.62;Men-500m
Men;110mH / 100mH;817;15.47;Men-110mH / 100mH
Men;400mH;817;56.81;Men-400mH
Men;4x100m;817;43.79;Men-4x100m
Men;4x200m;817;1:31.61;Men-4x200m
Men;4x400m;817;3:26.80;Men-4x400m
Men;600m;817;1:23.47;Men-600m
Men;800m;817;1:57.76;Men-800m
Men;1000m;817;2:32.20;Men-1000m
Men;1500m;817;4:03.24;Men-1500m
Men;Mile;817;4:22.43;Men-Mile
Men;2000m;817;5:34.45;Men-2000m
Men;HJ;817;-;Men-HJ
Men;PV;817;4.34;Men-PV
Men;LJ;817;-;Men-LJ
Men;TJ;817;13.69;Men-TJ
Men;SP;817;14.89;Men-SP
Men;DT;817;46.69;Men-DT
Men;HT;817;55.04;Men-HT
Men;JT;817;59.92;Men-JT
Men;Decathlon / Heptathlon;817;5973;Men-Decathlon / Heptathlon
Men;100m;818;-;Men-100m
Men;200m;818;22.81;Men-200m
Men;300m;818;36.05;Men-300m
Men;400m;818;50.69;Men-400m
Men;500m;818;1:06.60;Men-500m
Men;110mH / 100mH;818;15.46;Men-110mH / 100mH
Men;400mH;818;56.79;Men-400mH
Men;4x100m;818;43.77;Men-4x100m
Men;4x200m;818;1:31.57;Men-4x200m
Men;4x400m;818;3:26.72;Men-4x400m
Men;600m;818;1:23.44;Men-600m
Men;800m;818;1:57.72;Men-800m
Men;1000m;818;2:32.15;Men-1000m
Men;1500m;818;4:03.16;Men-1500m
Men;Mile;818;4:22.34;Men-Mile
Men;2000m;818;5:34.33;Men-2000m
Men;HJ;818;1.89;Men-HJ
Men;PV;818;-;Men-PV
Men;LJ;818;6.51;Men-LJ
Men;TJ;818;13.70;Men-TJ
Men;SP;818;14.90;Men-SP
Men;DT;818;46.75;Men-DT
Men;HT;818;55.10;Men-HT
Men;JT;818;60.00;Men-JT
Men;Decathlon / Heptathlon;818;5980;Men-Decathlon / Heptathlon
Men;100m;819;-;Men-100m
Men;200m;819;22.80;Men-200m
Men;300m;819;36.04;Men-300m
Men;400m;819;50.67;Men-400m
Men;500m;819;1:06.58;Men-500m
